date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,change,changePercent,label,changeOverTime
2017-11-01,166.89,169.87,169.94,165.61,33637762,166.89,169.87,169.94,165.61,33637762,-2.15,-1.2719,"Nov 1, 17",0.867286
2017-11-02,168.11,167.64,168.5,165.28,41393373,168.11,167.64,168.5,165.28,41393373,1.22,0.731,"Nov 2, 17",0.880936
2017-11-03,172.5,174,174.26,171.12,59398631,172.5,174,174.26,171.12,59398631,4.39,2.6114,"Nov 3, 17",0.930055
2017-11-06,174.25,172.37,174.99,171.72,35026306,174.25,172.37,174.99,171.72,35026306,1.75,1.0145,"Nov 6, 17",0.949635
2017-11-07,174.81,173.91,175.25,173.6,24361485,174.81,173.91,175.25,173.6,24361485,0.56,0.3214,"Nov 7, 17",0.955901
2017-11-08,176.24,174.66,176.24,174.33,24409527,176.24,174.66,176.24,174.33,24409527,1.43,0.818,"Nov 8, 17",0.971901
2017-11-09,175.88,175.11,176.1,173.14,29482596,175.88,175.11,176.1,173.14,29482596,-0.36,-0.2043,"Nov 9, 17",0.967873
2017-11-10,174.67,175.11,175.38,174.27,25145500,174.67,175.11,175.38,174.27,25145500,-1.21,-0.688,"Nov 10, 17",0.954334
2017-11-13,173.97,173.5,174.5,173.4,16982080,173.97,173.5,174.5,173.4,16982080,-0.7,-0.4008,"Nov 13, 17",0.946502
2017-11-14,171.34,173.04,173.48,171.18,24782487,171.34,173.04,173.48,171.18,24782487,-2.63,-1.5118,"Nov 14, 17",0.917076
2017-11-15,169.08,169.97,170.32,168.38,29158070,169.08,169.97,170.32,168.38,29158070,-2.26,-1.319,"Nov 15, 17",0.891789
2017-11-16,171.1,171.18,171.87,170.3,23637484,171.1,171.18,171.87,170.3,23637484,2.02,1.1947,"Nov 16, 17",0.914391
2017-11-17,170.15,171.04,171.39,169.64,21899544,170.15,171.04,171.39,169.64,21899544,-0.95,-0.5552,"Nov 17, 17",0.903761
2017-11-20,169.98,170.29,170.56,169.56,16262447,169.98,170.29,170.56,169.56,16262447,-0.17,-0.0999,"Nov 20, 17",0.901859
2017-11-21,173.14,170.78,173.7,170.78,25131295,173.14,170.78,173.7,170.78,25131295,3.16,1.859,"Nov 21, 17",0.937216
2017-11-22,174.96,173.36,175,173.05,25588925,174.96,173.36,175,173.05,25588925,1.82,1.0512,"Nov 22, 17",0.957579
2017-11-24,174.97,175.1,175.5,174.65,14026673,174.97,175.1,175.5,174.65,14026673,0.01,0.0057,"Nov 24, 17",0.957691
2017-11-27,174.09,175.05,175.08,173.34,20716802,174.09,175.05,175.08,173.34,20716802,-0.88,-0.5029,"Nov 27, 17",0.947845
